Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair deepmd, perpetual
      attributes: , newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
WARNING: Proc sub-domain size < neighbor skin, could lead to lost atoms (src/domain.cpp:963)
Per MPI rank memory allocation (min/avg/max) = 4.263 | 4.265 | 4.267 Mbytes
Step        CPU                Time   Temp         Press        Volume       Density      TotEng
    6700    137.99636          6.7     4997.547    4666063.5    2464.2002    6.9528923   -552638.07 
    6800     140.1562          6.8    4899.6757      4704567    2447.4912    7.0003596   -552595.15 
    6900    142.21458          6.9    4993.5955    4742885.9    2434.2658    7.0383927   -552533.48 
    7000    144.22186            7    5115.3499    4709383.5    2446.1572    7.0041771   -552542.79 
    7100    146.25427          7.1    5059.8551    4628132.2    2459.6772    6.9656775   -552577.81 
    7200    148.26978          7.2    5007.5354    4727997.9    2442.7764    7.0138708   -552528.49 
    7300    150.25894          7.3    4891.8423    4765519.2    2436.0218    7.0333189   -552534.94 
    7400    152.23188          7.4    5073.4396    4693576.4    2467.3167    6.9441098   -552660.06 
    7500    154.33282          7.5    5029.8237    4588419.3    2489.2206    6.8830053   -552735.22 
    7600    156.65189          7.6     4922.635    4719585.5    2464.8958      6.95093   -552684.86 
    7700    158.93867          7.7     5182.358      4819909    2460.0965    6.9644904    -552679.7 
    7800    161.23377          7.8    5133.7106    4574602.1     2490.031     6.880765   -552778.21 
    7900    163.50443          7.9    4861.7555    4682673.6     2477.572    6.9153665   -552745.75 
    8000    165.79971            8    4806.4922    4812977.8     2455.265     6.978195    -552680.1 
    8100    168.07937          8.1    4985.5184    4669488.5    2478.0687    6.9139804   -552729.63 
    8200    170.36907          8.2    5349.3434    4621241.7    2486.9708    6.8892317    -552731.6 
    8300    172.65885          8.3    4974.5406    4732567.4    2451.4974    6.9889198   -552617.72 
    8400    174.97865          8.4    5005.3583    4759128.3    2432.9957    7.0420668   -552532.73 
    8500    177.21055          8.5    4833.8256    4656119.3     2449.865    6.9935765   -552560.36 
    8600    179.26283          8.6     5019.211      4670593    2451.2366    6.9896634   -552558.43 
    8700    181.27749          8.7    5220.2219    4763836.9    2437.3016    7.0296259   -552509.63 
    8800    183.31713          8.8    5128.9932    4696379.9    2445.8116    7.0051669   -552526.55 
    8900    185.38343          8.9    5441.6322    4699835.1    2453.9964    6.9818027   -552579.71 
    9000     187.5156            9     5001.026    4677085.2    2456.6355    6.9743023   -552617.77 
    9100    189.58673          9.1    4656.9464    4689814.8    2457.6083    6.9715414   -552631.84 
    9200    191.66833          9.2    5096.2349    4703527.9    2456.6497    6.9742618   -552633.56 
    9300    193.73664          9.3    5178.9148    4697971.2    2457.2185    6.9726474   -552628.27 
    9400    195.81652          9.4    5069.6747    4662547.2    2462.0308    6.9590186   -552619.06 
    9500    197.88484          9.5     4789.085    4604420.2    2459.9598    6.9648773   -552592.47 
    9600    199.97955          9.6     5118.186    4748670.4    2433.6691    7.0401183   -552495.09 
    9700    202.05618          9.7    5108.9067    4828129.9    2434.1136    7.0388327   -552468.92 
    9800     203.9448          9.8    5057.9239    4544213.1    2466.0065    6.9477992   -552576.54 
    9900    205.94302          9.9    4834.9961    4669888.1    2446.3973    7.0034897   -552550.96 
   10000    207.97297           10    4848.5931    4860860.9    2417.3503    7.0876439   -552471.49 
   10100    210.07883         10.1    4896.5733    4666145.1    2447.1184     7.001426   -552551.18 
   10200    212.14645         10.2    5416.5358    4644064.4    2462.5605    6.9575219   -552581.44 
