# Chunk-averaged data for fix allrho1 and group c_keatom
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass c_keatom
10000 5 4352.08
  14 171.997 1185.41 4.36699 0.869173
  15 179.997 1123.75 4.13907 0.826923
  16 187.997 1195.19 4.40503 0.851541
  17 195.997 1117.03 4.11277 0.837511
  18 203.997 1207.8 4.45305 0.865356
  19 211.997 1087.62 4.00534 0.80548
  20 219.997 1208.78 4.45018 0.754301
  21 227.997 1086.98 4.00695 0.693441
  22 235.997 1173.04 4.3173 0.720776
  23 243.997 1130.96 4.17075 0.550766
  24 251.997 1087.02 4.00331 0.721693
  25 259.997 1136.75 4.19016 0.60904
  26 267.997 1093.96 4.02795 0.173096
  27 275.997 997.003 3.67228 0.680981
  28 283.997 1061.27 3.91173 0.782824
  29 291.997 1024 3.77246 0.128389
  30 299.997 1024 3.77246 0.0254621
  31 307.997 896.026 3.301 0.0159057
350000 32 39040
  1 69.9981 1409.15 5.1957 2.40429
  2 77.9981 1414.9 5.21296 2.3801
  3 85.9981 1425.77 5.2505 2.36174
  4 93.9981 1427.03 5.25829 2.34138
  5 101.998 1431.21 5.27304 2.28425
  6 109.998 1433.95 5.28286 2.29696
  7 117.998 1441.72 5.30864 2.27719
  8 125.998 1440.42 5.30837 2.21838
  9 133.998 1430.91 5.27135 2.17382
  10 141.998 1424.66 5.24823 2.07833
  11 149.998 1401.72 5.16432 1.95328
  12 157.998 1351.84 4.97791 1.74366
  13 165.998 1255.63 4.62547 1.30351
  14 173.998 1164.3 4.28922 0.932245
  15 181.998 1169.8 4.31129 0.849719
  16 189.998 1137.27 4.18775 0.836577
  17 197.998 1187.63 4.3762 0.840648
  18 205.998 1119.04 4.12189 0.857838
  19 213.998 1204.1 4.43361 0.849677
  20 221.998 1097.88 4.04649 0.785492
  21 229.998 1198.8 4.41706 0.741486
  22 237.998 1104.27 4.06789 0.665126
  23 245.998 1157.02 4.26275 0.689115
  24 253.998 1104.14 4.06016 0.570461
  25 261.998 1066.85 3.9376 0.74564
  26 269.998 1051.07 3.87626 0.530549
  27 277.998 1011.92 3.72118 0.147659
  28 285.998 1197.79 4.42399 0.715433
  29 293.998 1091.22 4.01155 0.649119
  30 301.998 1024 3.77246 0.02488
  31 309.998 1024 3.77246 0.0271753
  32 317.998 640.026 2.35788 0.0109813
360000 33 40192.1
  1 71.9971 1407.07 5.18806 2.48986
  2 79.9971 1416.49 5.21722 2.3788
  3 87.9971 1420.23 5.2322 2.37329
  4 95.9971 1433.56 5.28085 2.32553
  5 103.997 1426.84 5.25882 2.31016
  6 111.997 1429.43 5.26465 2.2885
  7 119.997 1450.28 5.34042 2.24789
  8 127.997 1436.04 5.29211 2.22548
  9 135.997 1438.87 5.30192 2.20541
  10 143.997 1428.32 5.26114 2.10095
  11 151.997 1409.13 5.19152 2.01792
  12 159.997 1377.24 5.07269 1.86857
  13 167.997 1299.88 4.78742 1.4566
  14 175.997 1181.18 4.35123 1.02801
  15 183.997 1178.03 4.33932 0.89189
  16 191.997 1152.28 4.24405 0.85034
  17 199.997 1155.13 4.25682 0.83478
  18 207.997 1167.59 4.30105 0.853204
  19 215.997 1136.74 4.18801 0.840156
  20 223.997 1181.17 4.35273 0.84205
  21 231.997 1122.57 4.13457 0.776905
  22 239.997 1160.6 4.27561 0.735254
  23 247.997 1143.34 4.21221 0.660699
  24 255.997 1026.82 3.78154 0.656654
  25 263.997 1221.34 4.50303 0.565451
  26 271.997 1079.83 3.97594 0.717557
  27 279.997 1024 3.77246 0.443602
  28 287.997 1024.06 3.77272 0.149011
  29 295.997 1201.59 4.42172 0.80875
  30 303.997 1102.35 4.06606 0.444445
  31 311.997 1022.36 3.76589 0.0219037
  32 319.997 769.641 2.83592 0.0284874
  33 327.997 768.051 2.82954 0.00901806
370000 34 41216.1
  1 73.9985 1404.22 5.17793 2.40882
  2 81.9985 1415.95 5.21452 2.41536
  3 89.9985 1422.03 5.23766 2.38368
  4 97.9985 1431.76 5.27755 2.32726
  5 105.999 1424.35 5.24787 2.30782
  6 113.999 1433.56 5.28164 2.26988
  7 121.999 1445.4 5.32139 2.25653
  8 129.999 1442.12 5.31286 2.19772
  9 137.999 1440.42 5.30777 2.22034
  10 145.999 1429.82 5.2685 2.15741
  11 153.999 1419.18 5.22644 2.0762
  12 161.999 1396.2 5.14292 1.91815
  13 169.999 1336.52 4.92187 1.66926
  14 177.999 1222.16 4.50336 1.14222
  15 185.999 1151.78 4.24234 0.944338
  16 193.999 1192.22 4.39288 0.884062
  17 201.999 1135.65 4.18446 0.836835
  18 209.999 1176.31 4.33274 0.842551
  19 217.999 1142.08 4.20856 0.84623
  20 225.999 1162.29 4.28083 0.832787
  21 233.999 1159.13 4.27076 0.825948
  22 241.999 1144.87 4.21728 0.764543
  23 249.999 1137.24 4.1967 0.706932
  24 257.999 1166.75 4.29133 0.653331
  25 265.999 1025.29 3.77778 0.604906
  26 273.999 1180.16 4.34352 0.648498
  27 281.999 1122.55 4.13923 0.636198
  28 289.999 1024 3.77246 0.275394
  29 297.999 1024 3.77246 0.282322
  30 305.999 1151.74 4.24454 0.865121
  31 313.999 996.383 3.66858 0.297535
  32 321.999 923.872 3.40427 0.0224444
  33 329.999 1024 3.77246 0.0266392
  34 337.999 512.077 1.88652 0.0043333
380000 34 41984
  1 75.9968 1406.81 5.18579 2.42332
  2 83.9968 1406.82 5.18351 2.38913
  3 91.9968 1429.8 5.26495 2.38336
  4 99.9968 1424.84 5.25025 2.35253
  5 107.997 1431.89 5.27695 2.27344
  6 115.997 1429.27 5.26589 2.29211
  7 123.997 1450.38 5.34052 2.23104
  8 131.997 1435.62 5.28866 2.2229
  9 139.997 1437.08 5.29618 2.24921
  10 147.997 1438.91 5.30061 2.19312
  11 155.997 1428.98 5.26487 2.10023
  12 163.997 1409.3 5.19061 1.9793
  13 171.997 1361.63 5.01387 1.81983
  14 179.997 1240.89 4.57218 1.33416
  15 187.997 1205.42 4.43959 0.981534
  16 195.997 1136.57 4.18882 0.915023
  17 203.997 1207.72 4.44877 0.875783
  18 211.997 1117.51 4.11522 0.841816
  19 219.997 1199.99 4.42235 0.827227
  20 227.997 1128.78 4.15869 0.829704
  21 235.997 1175.7 4.33115 0.826488
  22 243.997 1144.64 4.21467 0.827073
  23 251.997 1159.42 4.27362 0.745509
  24 259.997 1112.85 4.09403 0.717938
  25 267.997 1190.04 4.39053 0.647667
  26 275.997 1025.11 3.77594 0.516285
  27 283.997 1153.98 4.25766 0.699156
  28 291.997 1150.02 4.23039 0.569646
  29 299.997 1024 3.77246 0.136097
  30 307.997 1023.93 3.77225 0.50397
  31 315.997 1024.07 3.77268 0.824898
  32 323.997 1024 3.77246 0.18846
  33 331.997 1024 3.77246 0.0237635
  34 339.997 1024 3.77246 0.0212898
390000 35 43136
  1 77.9984 1405.7 5.18091 2.41547
  2 85.9984 1409.82 5.19409 2.41351
  3 93.9984 1418.46 5.2241 2.37162
  4 101.998 1437.07 5.29705 2.35211
  5 109.998 1425.66 5.25249 2.3048
  6 117.998 1433.5 5.28183 2.24453
  7 125.998 1447.67 5.32907 2.25191
  8 133.998 1434.95 5.2866 2.25912
  9 141.998 1435.82 5.29126 2.23605
  10 149.998 1443.73 5.31972 2.19558
  11 157.998 1431.86 5.2758 2.13091
  12 165.998 1417.29 5.22009 2.07966
  13 173.998 1395.16 5.13847 1.89571
  14 181.998 1283.94 4.72802 1.50255
  15 189.998 1184.3 4.3635 1.07955
  16 197.998 1203.56 4.43436 0.924437
  17 205.998 1127.89 4.15435 0.908368
  18 213.998 1214.86 4.47524 0.87372
  19 221.998 1116.02 4.1123 0.834972
  20 229.998 1204.65 4.43836 0.834432
  21 237.998 1114.95 4.10565 0.824134
  22 245.998 1196.03 4.40818 0.827717
  23 253.998 1121.76 4.13407 0.79681
  24 261.998 1182.51 4.3546 0.750203
  25 269.998 1091.26 4.02555 0.706937
  26 277.998 1183.51 4.34428 0.602816
  27 285.998 1054.07 3.89385 0.51733
  28 293.998 1128.59 4.13979 0.691356
  29 301.998 1164.97 4.31142 0.484383
  30 309.998 961.123 3.53286 0.0748132
  31 317.998 1079.08 3.97953 0.643621
  32 325.998 1042.24 3.84183 0.743177
  33 333.998 1024 3.77246 0.0508668
  34 341.998 1024 3.77246 0.0257918
  35 349.998 896.026 3.301 0.0156222
400000 36 44160
  1 79.998 1404.68 5.17844 2.41116
  2 87.998 1406.66 5.17936 2.41148
  3 95.998 1421.81 5.23733 2.3827
  4 103.998 1436.71 5.29715 2.31126
  5 111.998 1428.21 5.26184 2.32913
  6 119.998 1430.86 5.27065 2.28616
  7 127.998 1443.77 5.31616 2.26327
  8 135.998 1438.29 5.29935 2.24923
  9 143.998 1434.28 5.28688 2.21896
  10 151.998 1447.81 5.33259 2.19184
  11 159.998 1430.48 5.27125 2.19545
  12 167.998 1431.13 5.27018 2.07276
  13 175.998 1399.43 5.15396 1.98116
  14 183.998 1335.3 4.91844 1.68386
  15 191.998 1222.09 4.50236 1.21485
  16 199.998 1166.55 4.29743 0.974348
  17 207.998 1192.12 4.39141 0.897872
  18 215.998 1132.58 4.17275 0.894234
  19 223.998 1210.39 4.46 0.877694
  20 231.998 1111.28 4.09413 0.833579
  21 239.998 1216.23 4.47807 0.810768
  22 247.998 1104.64 4.07408 0.828285
  23 255.998 1213.37 4.46573 0.80231
  24 263.998 1094.09 4.0319 0.832706
  25 271.998 1213.06 4.46999 0.707003
  26 279.998 1037.79 3.81753 0.725451
  27 287.998 1215.93 4.48538 0.504192
  28 295.998 1076.46 3.96503 0.611676
  29 303.998 1068.53 3.93746 0.68626
  30 311.998 981.304 3.61354 0.381674
  31 319.998 1056.75 3.89063 0.0948521
  32 327.998 1187.64 4.38438 0.743425
  33 335.998 1081.78 3.97945 0.511929
  34 343.998 1024 3.77246 0.0227184
  35 351.998 1024 3.77246 0.0276436
  36 359.998 640.026 2.35788 0.0110594
410000 37 45312.1
  1 81.9979 1404.25 5.17841 2.4237
  2 89.9979 1405.15 5.17567 2.40252
  3 97.9979 1423.18 5.24085 2.37259
  4 105.998 1436.43 5.29424 2.32565
  5 113.998 1425.22 5.2505 2.2778
  6 121.998 1432.97 5.27943 2.3526
  7 129.998 1441.54 5.30646 2.2562
  8 137.998 1437.92 5.29929 2.25206
  9 145.998 1435.23 5.28893 2.20417
  10 153.998 1444.98 5.32288 2.19637
  11 161.998 1436.7 5.29518 2.20022
  12 169.998 1438.23 5.297 2.10738
  13 177.998 1418.36 5.22172 2.02844
  14 185.998 1354.17 4.99126 1.84682
  15 193.998 1259.88 4.63865 1.39474
  16 201.998 1189.18 4.38017 1.02943
  17 209.998 1169.93 4.311 0.922183
  18 217.998 1181.46 4.35225 0.888932
  19 225.998 1131.11 4.16748 0.901459
  20 233.998 1213.36 4.46882 0.855979
  21 241.998 1109.05 4.08664 0.825429
  22 249.998 1218.98 4.49292 0.813663
  23 257.998 1100.17 4.04609 0.823177
  24 265.998 1213.85 4.47708 0.810044
  25 273.998 1102.58 4.06425 0.800146
  26 281.998 1188.92 4.3754 0.718007
  27 289.998 1063.64 3.92137 0.686909
  28 297.998 1101.71 4.05687 0.517343
  29 305.998 1193.9 4.40255 0.587237
  30 313.998 1027.96 3.78405 0.662663
  31 321.998 1024 3.77246 0.201799
  32 329.998 1024.5 3.77467 0.193906
  33 337.998 1208.13 4.43992 0.791454
  34 345.998 1095.37 4.04592 0.334325
  35 353.998 833.332 3.06874 0.0227084
  36 361.998 958.668 3.53308 0.0278652
  37 369.998 768.051 2.82954 0.00909753
420000 38 46336.1
  1 83.997 1406.12 5.18523 2.42735
  2 91.997 1406.08 5.17897 2.41483
  3 99.997 1421.65 5.2355 2.34255
  4 107.997 1433.91 5.28189 2.33034
  5 115.997 1420.54 5.23506 2.3451
  6 123.997 1430.42 5.27219 2.28749
  7 131.997 1446.88 5.32563 2.29673
  8 139.997 1441.52 5.3123 2.24546
  9 147.997 1437.29 5.29644 2.2405
  10 155.997 1441.25 5.30893 2.16475
  11 163.997 1439.38 5.30494 2.17875
  12 171.997 1440.37 5.30595 2.16369
  13 179.997 1424.04 5.24197 2.12632
  14 187.997 1376.67 5.07459 1.92474
  15 195.997 1298.77 4.78104 1.56248
  16 203.997 1226.83 4.51915 1.10068
  17 211.997 1160.86 4.2778 0.967053
  18 219.997 1178.95 4.34301 0.909659
  19 227.997 1168.59 4.30488 0.876033
  20 235.997 1139.05 4.19587 0.880993
  21 243.997 1201.21 4.42639 0.863166
  22 251.997 1115.16 4.10829 0.824636
  23 259.997 1200.94 4.42275 0.820123
  24 267.997 1115.8 4.11387 0.81048
  25 275.997 1196.28 4.40415 0.825639
  26 283.997 1097.09 4.04142 0.777321
  27 291.997 1206.19 4.4513 0.709615
  28 299.997 1080.15 3.97301 0.644612
  29 307.997 1062.75 3.9304 0.412198
  30 315.997 1196.34 4.38833 0.677549
  31 323.997 1068.91 3.94178 0.564191
  32 331.997 1024 3.77246 0.0754102
  33 339.997 1024 3.77246 0.373838
  34 347.997 1176.37 4.3349 0.755344
  35 355.997 871.716 3.21043 0.263423
  36 363.997 1023.91 3.77206 0.0221476
  37 371.997 1024 3.77246 0.0265183
  38 379.997 512.077 1.88652 0.00430609
430000 38 47104
  1 85.9983 1403.67 5.17548 2.42895
  2 93.9983 1408.63 5.18719 2.42093
  3 101.998 1425.2 5.24958 2.33642
  4 109.998 1428.32 5.26478 2.34572
  5 117.998 1417.95 5.2236 2.34724
  6 125.998 1433.25 5.28009 2.30657
  7 133.998 1439.41 5.30001 2.2604
  8 141.998 1451.3 5.35013 2.27109
  9 149.998 1434.84 5.28538 2.23324
  10 157.998 1446.08 5.32486 2.16661
  11 165.998 1439.25 5.30545 2.16902
  12 173.998 1435.4 5.28765 2.20457
  13 181.998 1431.87 5.27241 2.16691
  14 189.998 1401.53 5.16443 2.01853
  15 197.998 1328.09 4.89029 1.74158
  16 205.998 1240.4 4.56866 1.24882
  17 213.998 1201.21 4.42675 0.96605
  18 221.998 1154.85 4.25404 0.924827
  19 229.998 1188.89 4.38041 0.907961
  20 237.998 1150.65 4.23887 0.882107
  21 245.998 1155.31 4.25631 0.883545
  22 253.998 1183.13 4.35756 0.858383
  23 261.998 1122.34 4.13526 0.825419
  24 269.998 1198.52 4.41922 0.807792
  25 277.998 1106.93 4.07419 0.818335
  26 285.998 1214.34 4.47483 0.787607
  27 293.998 1087.76 4.00751 0.792621
  28 301.998 1208.29 4.44495 0.689477
  29 309.998 1094.58 4.03821 0.568089
  30 317.998 1032.68 3.80106 0.421158
  31 325.998 1198.71 4.42479 0.702211
  32 333.998 1096.61 4.03466 0.414606
  33 341.998 1024 3.77246 0.0404178
  34 349.998 1024 3.77246 0.620152
  35 357.998 1024 3.77246 0.708118
  36 365.998 1024 3.77246 0.11431
  37 373.998 1024 3.77246 0.025232
  38 381.998 1024 3.77246 0.0206963
440000 39 48256
  1 87.9971 1399.94 5.16312 2.43317
  2 95.9971 1415.47 5.20938 2.40883
  3 103.997 1422.3 5.24169 2.39068
  4 111.997 1423.6 5.24537 2.37716
  5 119.997 1419.47 5.2293 2.31421
  6 127.997 1431.86 5.27687 2.30314
  7 135.997 1443.6 5.31399 2.2546
  8 143.997 1444.42 5.32217 2.2187
  9 151.997 1443.48 5.31918 2.25335
  10 159.997 1446.54 5.32744 2.17533
  11 167.997 1433.73 5.28526 2.20278
  12 175.997 1436.78 5.2923 2.15797
  13 183.997 1437.23 5.29209 2.18109
  14 191.997 1408.2 5.18778 2.11242
  15 199.997 1365.19 5.02482 1.8865
  16 207.997 1286.4 4.74165 1.41602
  17 215.997 1179.94 4.34905 1.02056
  18 223.997 1201.19 4.42487 0.937597
  19 231.997 1142.55 4.20761 0.920196
  20 239.997 1206.55 4.44702 0.891505
  21 247.997 1136.77 4.18893 0.878602
  22 255.997 1170.77 4.31158 0.883689
  23 263.997 1169.46 4.31004 0.839914
  24 271.997 1134.69 4.17869 0.834954
  25 279.997 1184.54 4.36076 0.802413
  26 287.997 1120.09 4.12949 0.796503
  27 295.997 1195.5 4.40352 0.796603
  28 303.997 1107.87 4.08208 0.731786
  29 311.997 1189.15 4.38416 0.69438
  30 319.997 1114.7 4.10345 0.459482
  31 327.997 1024 3.77246 0.493994
  32 335.997 1193.58 4.39253 0.690877
  33 343.997 1110.42 4.09551 0.273023
  34 351.997 855.961 3.1544 0.14935
  35 359.997 1192.02 4.39046 0.623428
  36 367.997 1024.02 3.77254 0.580239
  37 375.997 1024 3.77246 0.0240044
  38 383.997 1024 3.77246 0.0252994
  39 391.997 896.026 3.301 0.0154244
450000 40 49280
  1 89.9974 1399.46 5.16144 2.443
  2 97.9974 1413.46 5.20565 2.43758
  3 105.997 1419.83 5.228 2.40421
  4 113.997 1428.04 5.26193 2.38652
  5 121.997 1417.09 5.22139 2.312
  6 129.997 1433.52 5.28169 2.26733
  7 137.997 1443.93 5.31765 2.26156
  8 145.997 1445.32 5.32531 2.21702
  9 153.997 1442.73 5.31561 2.20268
  10 161.997 1445.02 5.32176 2.23184
  11 169.997 1439.95 5.30786 2.22988
  12 177.997 1433.65 5.28219 2.15005
  13 185.997 1436.45 5.28809 2.16399
  14 193.997 1412.35 5.20215 2.13425
  15 201.997 1389.64 5.11377 1.96411
  16 209.997 1325.92 4.8894 1.62165
  17 217.997 1223.13 4.50684 1.19769
  18 225.997 1154.25 4.25296 0.933999
  19 233.997 1206.1 4.44267 0.906813
  20 241.997 1139.19 4.19747 0.910128
  21 249.997 1209.98 4.45644 0.898859
  22 257.997 1130 4.16301 0.874244
  23 265.997 1186.85 4.37333 0.877571
  24 273.997 1148.32 4.22803 0.846315
  25 281.997 1155.83 4.26047 0.817446
  26 289.997 1166.29 4.30014 0.786913
  27 297.997 1137.72 4.18792 0.784186
  28 305.997 1172.29 4.32039 0.774513
  29 313.997 1131.7 4.16764 0.727784
  30 321.997 1156.43 4.25771 0.68612
  31 329.997 1147.49 4.23012 0.405848
  32 337.997 1024.07 3.77268 0.49154
  33 345.997 1185.47 4.37005 0.654322
  34 353.997 862.616 3.17513 0.229537
  35 361.997 1092.79 4.02123 0.17217
  36 369.997 1193.96 4.40746 0.763087
  37 377.997 1041.16 3.83157 0.337682
  38 385.997 1024 3.77246 0.0216669
  39 393.997 772.935 2.8477 0.0276469
  40 401.997 891.091 3.28265 0.0152868
460000 41 50432.1
  1 91.9972 1402.14 5.16879 2.43716
  2 99.9972 1405.77 5.17743 2.45213
  3 107.997 1421.88 5.23794 2.38961
  4 115.997 1426.2 5.2537 2.39523
  5 123.997 1420.96 5.23688 2.31277
  6 131.997 1435.7 5.29106 2.25772
  7 139.997 1445.55 5.32207 2.22848
  8 147.997 1448.6 5.33781 2.22286
  9 155.997 1436.61 5.29332 2.2052
  10 163.997 1437.76 5.29533 2.21457
  11 171.997 1446.91 5.33394 2.24806
  12 179.997 1437.54 5.29462 2.19718
  13 187.997 1432.8 5.2749 2.19669
  14 195.997 1420.15 5.23125 2.0985
  15 203.997 1400.14 5.15418 2.01763
  16 211.997 1352.88 4.9875 1.84823
  17 219.997 1268.4 4.67405 1.37331
  18 227.997 1184.25 4.36209 0.984481
  19 235.997 1149.55 4.23562 0.895901
  20 243.997 1198.48 4.41561 0.915861
  21 251.997 1137.95 4.19019 0.89926
  22 259.997 1215.15 4.47938 0.893996
  23 267.997 1124.49 4.14315 0.870011
  24 275.997 1204.14 4.43405 0.876821
  25 283.997 1132.91 4.17574 0.829441
  26 291.997 1173.09 4.32009 0.798244
  27 299.997 1149.54 4.2314 0.777299
  28 307.997 1154.46 4.25664 0.757215
  29 315.997 1164.3 4.2877 0.771227
  30 323.997 1139.7 4.20035 0.70864
  31 331.997 1137.73 4.20309 0.618418
  32 339.997 1099.62 4.03888 0.431911
  33 347.997 1090.65 4.01853 0.568704
  34 355.997 1024 3.77246 0.652587
  35 363.997 1024 3.77246 0.079356
  36 371.997 1058.54 3.90182 0.321736
  37 379.997 1189.84 4.37522 0.75819
  38 387.997 1079.62 3.98347 0.166979
  39 395.997 768.143 2.82998 0.0234717
  40 403.997 1023.86 3.77183 0.0273725
  41 411.997 768.051 2.82954 0.00914039
470000 42 51456.1
  1 93.9971 1394.9 5.14248 2.50629
  2 101.997 1410 5.19216 2.43274
  3 109.997 1420.32 5.23451 2.4091
  4 117.997 1430.81 5.26892 2.37939
  5 125.997 1419.7 5.23131 2.31076
  6 133.997 1438.32 5.30197 2.26329
  7 141.997 1446.49 5.32364 2.20938
  8 149.997 1448.75 5.34048 2.20669
  9 157.997 1432.8 5.27993 2.24985
  10 165.997 1439.78 5.3036 2.16821
  11 173.997 1440.15 5.30626 2.23694
  12 181.997 1438.36 5.29966 2.27534
  13 189.997 1440.3 5.30127 2.17521
  14 197.997 1425.07 5.24797 2.14181
  15 205.997 1401.59 5.16183 2.07613
  16 213.997 1383.79 5.10073 1.90465
  17 221.997 1297.46 4.77963 1.57741
  18 229.997 1216.57 4.48311 1.08936
  19 237.997 1164 4.28823 0.920287
  20 245.997 1159.25 4.27041 0.888867
  21 253.997 1189.99 4.38433 0.900555
  22 261.997 1134.71 4.18255 0.903946
  23 269.997 1218.61 4.4859 0.876674
  24 277.997 1124.59 4.1428 0.868899
  25 285.997 1215.51 4.47974 0.853214
  26 293.997 1125.53 4.14503 0.812766
  27 301.997 1182.63 4.35775 0.783889
  28 309.997 1140.43 4.20384 0.755155
  29 317.997 1163.56 4.28416 0.776373
  30 325.997 1141.97 4.20655 0.75219
  31 333.997 1162.05 4.2816 0.701243
  32 341.997 1024.41 3.77393 0.622123
  33 349.997 1135.8 4.19109 0.450815
  34 357.997 1167.79 4.2955 0.59193
  35 365.997 1024 3.77246 0.454379
  36 373.997 1024 3.77246 0.042389
  37 381.997 1024 3.77246 0.523002
  38 389.997 1215.57 4.4793 0.605392
  39 397.997 832.431 3.06563 0.144286
  40 405.997 1024 3.77246 0.0228072
  41 413.997 1024 3.77246 0.0265901
  42 421.997 512.077 1.88652 0.00411989
480000 42 52224
  1 95.9969 1390.11 5.12756 2.43897
  2 103.997 1409.34 5.18763 2.46662
  3 111.997 1424.63 5.24792 2.4032
  4 119.997 1435.56 5.28923 2.34472
  5 127.997 1422.04 5.24028 2.29578
  6 135.997 1438.66 5.30053 2.25049
  7 143.997 1442.74 5.31225 2.20902
  8 151.997 1447.28 5.33342 2.24922
  9 159.997 1432.97 5.27985 2.21352
  10 167.997 1444.32 5.31928 2.19729
  11 175.997 1427.11 5.26144 2.2475
  12 183.997 1440.77 5.30736 2.208
  13 191.997 1445.74 5.32197 2.22363
  14 199.997 1424.51 5.24526 2.22067
  15 207.997 1414.61 5.2118 2.07744
  16 215.997 1396.73 5.14735 1.98157
  17 223.997 1336.58 4.9244 1.70585
  18 231.997 1228.29 4.52584 1.25837
  19 239.997 1204.27 4.43513 0.958371
  20 247.997 1148.2 4.22934 0.900295
  21 255.997 1173.47 4.32413 0.880509
  22 263.997 1178.18 4.34032 0.900321
  23 271.997 1136.51 4.18551 0.89181
  24 279.997 1215.12 4.479 0.873592
  25 287.997 1130.49 4.16491 0.844663
  26 295.997 1210.2 4.45601 0.856626
  27 303.997 1120.18 4.12775 0.803392
  28 311.997 1200.27 4.42253 0.767606
  29 319.997 1106.63 4.0743 0.772981
  30 327.997 1197.83 4.41571 0.760956
  31 335.997 1111.71 4.09439 0.726932
  32 343.997 1192.93 4.39552 0.696801
  33 351.997 1024.01 3.77248 0.559412
  34 359.997 1123.73 4.13554 0.450333
  35 367.997 1180.12 4.35202 0.661343
  36 375.997 1024.16 3.77295 0.239899
  37 383.997 1024 3.77246 0.0919551
  38 391.997 1024 3.77249 0.662291
  39 399.997 1024 3.77244 0.599872
  40 407.997 1024 3.77246 0.0263408
  41 415.997 1024 3.77246 0.0252108
  42 423.997 1024 3.77246 0.0208238
490000 43 53248
  1 97.9973 1388.49 5.12231 2.45505
  2 105.997 1406.05 5.17419 2.41806
  3 113.997 1426.64 5.25613 2.41327
  4 121.997 1436.91 5.29439 2.35791
  5 129.997 1426.27 5.25455 2.27715
  6 137.997 1437.62 5.29726 2.24403
  7 145.997 1444.39 5.31951 2.23867
  8 153.997 1445.21 5.32631 2.20776
  9 161.997 1429.74 5.26652 2.22869
  10 169.997 1436.88 5.29336 2.22521
  11 177.997 1439.85 5.30582 2.21544
  12 185.997 1436.31 5.29162 2.21132
  13 193.997 1441.9 5.30837 2.2337
  14 201.997 1431.34 5.27044 2.20668
  15 209.997 1417.26 5.22248 2.16847
  16 217.997 1407.63 5.18621 2.01683
  17 225.997 1365.28 5.02938 1.82943
  18 233.997 1281.16 4.72024 1.42982
  19 241.997 1171.13 4.31388 1.0313
  20 249.997 1211.15 4.46294 0.914926
  21 257.997 1140.71 4.20278 0.884194
  22 265.997 1185.73 4.36768 0.880974
  23 273.997 1163.05 4.28537 0.88998
  24 281.997 1145.64 4.22021 0.888379
  25 289.997 1208.7 4.45293 0.857663
  26 297.997 1123.4 4.13663 0.838228
  27 305.997 1225.72 4.51862 0.828429
  28 313.997 1105.88 4.07565 0.800146
  29 321.997 1215.75 4.47446 0.767151
  30 329.997 1094.89 4.04303 0.760827
  31 337.997 1207.04 4.4355 0.750699
  32 345.997 1102.62 4.06756 0.759519
  33 353.997 1203.68 4.43262 0.7
  34 361.997 1027.98 3.78706 0.475453
  35 369.997 1092.28 4.02604 0.499616
  36 377.997 1179.91 4.34299 0.609663
  37 385.997 1055.81 3.89148 0.104772
  38 393.997 883.757 3.25675 0.238455
  39 401.997 1164.24 4.28818 0.683439
  40 409.997 1024 3.77246 0.347101
  41 417.997 1024 3.77246 0.0231534
  42 425.997 1024 3.77246 0.0264288
  43 433.997 768 2.82935 0.0180022
500000 44 54400
  1 99.9971 1388.09 5.11695 2.41119
  2 107.997 1406.62 5.18146 2.39237
  3 115.997 1427.53 5.25894 2.35781
  4 123.997 1438.08 5.29726 2.37399
  5 131.997 1430.59 5.27254 2.28328
  6 139.997 1431.39 5.27308 2.25521
  7 147.997 1448.78 5.33508 2.21401
  8 155.997 1440.99 5.30798 2.23573
  9 163.997 1429.82 5.27108 2.23503
  10 171.997 1437.33 5.29286 2.1865
  11 179.997 1435.21 5.28933 2.23669
  12 187.997 1435.45 5.28897 2.25003
  13 195.997 1441.13 5.30616 2.19282
  14 203.997 1435.62 5.28613 2.18449
  15 211.997 1423.65 5.24424 2.21495
  16 219.997 1417.03 5.22178 2.07419
  17 227.997 1378.03 5.0764 1.93217
  18 235.997 1313.93 4.8432 1.61438
  19 243.997 1235.26 4.54878 1.12675
  20 251.997 1141.55 4.20563 0.927763
  21 259.997 1218.51 4.48842 0.889202
  22 267.997 1130.49 4.16512 0.885073
  23 275.997 1202.19 4.42954 0.867674
  24 283.997 1156 4.25968 0.885177
  25 291.997 1149.65 4.23411 0.881339
  26 299.997 1205.15 4.43897 0.835758
  27 307.997 1123.42 4.14206 0.837875
  28 315.997 1212.7 4.46362 0.832651
  29 323.997 1117.19 4.11424 0.784757
  30 331.997 1207.15 4.45379 0.786152
  31 339.997 1092.17 4.01291 0.738627
  32 347.997 1213.24 4.48118 0.756586
  33 355.997 1094.58 4.02535 0.765165
  34 363.997 1176.39 4.34226 0.677619
  35 371.997 1077.1 3.96248 0.424873
  36 379.997 1040.91 3.83647 0.602326
  37 387.997 1213.69 4.47274 0.453868
  38 395.997 817.397 3.00819 0.0599845
  39 403.997 1134.09 4.17737 0.297403
  40 411.997 1169.91 4.31067 0.70955
  41 419.997 1024 3.77246 0.174125
  42 427.997 1024 3.77246 0.0222878
  43 435.997 768 2.82935 0.0270077
  44 443.997 896.026 3.301 0.015607
