# Chunk-averaged data for fix allrho1 and group c_keatom
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass c_keatom
10000 5 4352.08
  10 99.9973 1167.57 4.31362 0.536047
  11 107.997 1050.55 3.87137 0.989011
  12 115.997 1019.91 3.75583 0.932392
  13 123.997 1001.69 3.6907 0.0558901
  14 131.997 1024 3.77246 0.0265231
  15 139.997 896.026 3.301 0.0157875
150000 16 18688.1
  1 29.9972 1309.87 4.82821 2.07138
  2 37.9972 1365.92 5.0304 1.79923
  3 45.9972 1343.9 4.95046 1.80595
  4 53.9972 1337.85 4.93112 1.64386
  5 61.9972 1333.2 4.91264 1.47809
  6 69.9972 1274.95 4.69459 1.31175
  7 77.9972 1212.15 4.46569 1.03555
  8 85.9972 1113.42 4.0998 0.940514
  9 93.9972 1209.31 4.45621 0.961579
  10 101.997 1133.54 4.17756 0.90181
  11 109.997 1028.6 3.78747 0.52285
  12 117.997 1185.29 4.3666 0.921854
  13 125.997 1024 3.77246 0.755562
  14 133.997 1024 3.77246 0.0226442
  15 141.997 1024 3.77246 0.0277694
  16 149.997 768.051 2.82954 0.00902737
160000 17 19712.1
  1 31.9969 1339.69 4.93792 2.22692
  2 39.9969 1373.85 5.05996 1.97463
  3 47.9969 1356.82 4.995 1.87635
  4 55.9969 1346.52 4.96442 1.68315
  5 63.9969 1344.17 4.9547 1.50026
  6 71.9969 1305.76 4.80846 1.35962
  7 79.9969 1174.85 4.32616 1.08451
  8 87.9969 1198.41 4.41375 0.926471
  9 95.9969 1112.71 4.10145 0.886878
  10 103.997 1208.76 4.45295 0.895021
  11 111.997 1062.46 3.9135 0.869508
  12 119.997 1105.32 4.06904 0.403494
  13 127.997 1181.87 4.36294 1.08935
  14 135.997 1040.8 3.82853 0.492429
  15 143.997 1024 3.77246 0.0230331
  16 151.997 1024 3.77246 0.0263673
  17 159.997 512.051 1.88642 0.0040189
170000 18 20736.1
  1 33.9982 1347.76 4.96811 2.3083
  2 41.9982 1393.72 5.13217 2.10642
  3 49.9982 1372.3 5.05459 1.97631
  4 57.9982 1365.2 5.03284 1.75435
  5 65.9982 1345.04 4.95462 1.57444
  6 73.9982 1317.45 4.85292 1.39554
  7 81.9982 1235.91 4.55064 1.15206
  8 89.9982 1125.63 4.14708 0.916186
  9 97.9982 1206.15 4.45063 0.869974
  10 105.998 1098.57 4.0408 0.830963
  11 113.998 1219.65 4.48996 0.81436
  12 121.998 1076.61 3.96949 0.848117
  13 129.998 1055.99 3.8933 0.460937
  14 137.998 1209.07 4.43802 1.04455
  15 145.998 1062.94 3.92919 0.309655
  16 153.998 1011.21 3.72564 0.0248276
  17 161.998 780.79 2.87617 0.0253145
  18 169.998 512.077 1.88652 0.00396813
180000 18 21504
  1 35.9972 1355.65 4.99695 2.31628
  2 43.9972 1400.92 5.15938 2.17401
  3 51.9972 1392.74 5.12852 2.07228
  4 59.9972 1376.37 5.07486 1.86437
  5 67.9972 1363.96 5.0258 1.64613
  6 75.9972 1323.64 4.87672 1.45316
  7 83.9972 1251.07 4.60579 1.22238
  8 91.9972 1191.98 4.39215 0.939415
  9 99.9972 1122.15 4.13359 0.834913
  10 107.997 1188.68 4.37551 0.85306
  11 115.997 1115.95 4.11238 0.73397
  12 123.997 1183.2 4.36241 0.905943
  13 131.997 1117.69 4.11537 0.647983
  14 139.997 1030.91 3.79266 0.604275
  15 147.997 1188.44 4.38457 0.955218
  16 155.997 874.884 3.22517 0.260408
  17 163.997 1001.77 3.68745 0.0246373
  18 171.997 1024 3.77246 0.0213833
190000 19 22656
  1 37.9974 1358.66 5.00818 2.29938
  2 45.9974 1409.62 5.19406 2.21504
  3 53.9974 1406.79 5.17826 2.12682
  4 61.9974 1392.05 5.12992 1.97622
  5 69.9974 1377.68 5.07862 1.72817
  6 77.9974 1346.07 4.95815 1.54503
  7 85.9974 1266.08 4.66224 1.28661
  8 93.9974 1195.81 4.40422 1.01844
  9 101.997 1177.54 4.33935 0.834685
  10 109.997 1125.72 4.14602 0.782037
  11 117.997 1168.75 4.30976 0.81387
  12 125.997 1135.22 4.1782 0.765787
  13 133.997 1152.34 4.24 0.924787
  14 141.997 1151.66 4.24805 0.44499
  15 149.997 1019.07 3.75567 0.844394
  16 157.997 1028.93 3.78926 0.91792
  17 165.997 1024 3.77246 0.13619
  18 173.997 1024 3.77246 0.0259631
  19 181.997 896.026 3.301 0.0155313
200000 20 23808.1
  1 39.997 1360.57 5.01669 2.3755
  2 47.997 1422.17 5.23791 2.20656
  3 55.997 1407.41 5.18136 2.17272
  4 63.997 1409.07 5.19375 2.01205
  5 71.997 1391.55 5.12965 1.83233
  6 79.997 1356.66 4.99713 1.65
  7 87.997 1301.63 4.79339 1.4158
  8 95.997 1216.49 4.47938 1.07991
  9 103.997 1165.46 4.2933 0.873345
  10 111.997 1155.93 4.25642 0.794593
  11 119.997 1149.05 4.23551 0.708202
  12 127.997 1153.09 4.2433 0.820499
  13 135.997 1150.91 4.24474 0.760125
  14 143.997 1142.15 4.21018 0.893294
  15 151.997 944.909 3.4786 0.452243
  16 159.997 1226.46 4.51532 0.793838
  17 167.997 1038.48 3.82888 0.813783
  18 175.997 1024 3.77246 0.027382
  19 183.997 1024 3.77246 0.0274286
  20 191.997 768.051 2.82954 0.00922138
210000 21 24832.1
